,State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,Pollution Index
50,California,2015,10.269061512879755,27.551190853175733,0.4586483399001213,333.13140009744734,371.41030080340295
51,California,2016,8.101743924363591,25.300942909090892,0.6012758643636374,360.4359701818171,394.4399328796352
52,Colorado,2000,14.90246898904114,17.06601643835616,2.1380578726027406,611.3879547945195,645.4944980945195
53,Colorado,2001,25.78340071651082,16.376249221183826,2.4376980186915893,627.5631869158875,672.1605348722737
54,Colorado,2002,19.769313209944677,20.604186003683182,2.2467810911602215,499.26212154696174,541.8824018517498
55,Colorado,2003,21.073078467874765,19.41373476112027,1.9633121663920954,549.6916886326184,592.1418140280055
56,Colorado,2004,21.64520825072887,17.20207288629745,1.8985486778425675,616.8473294460645,657.5931592609334
57,Colorado,2005,24.17658178731699,18.818469268292777,1.930438374634143,617.5001887804884,662.4256782107324
58,Colorado,2006,24.644735138629244,20.494109034267886,2.0845535038940817,571.6930319314657,618.916429608257
59,Colorado,2007,23.835024832137712,21.69165853658542,1.9193284670014295,549.4412539454796,596.8872657812042
60,Colorado,2008,19.080972470910375,25.608830253251313,1.860228203969885,405.50120328542164,452.0512342135532
61,Colorado,2009,14.230846937499981,26.782818749999915,1.37065658125,355.38630624999917,397.77062851874905
62,Colorado,2010,16.171137841981164,22.95454952830189,1.0280904292452844,365.6964410377362,405.8502188372645
63,Colorado,2011,17.526490973312406,27.845387755102028,1.4074937598116153,332.9829733124021,379.76234580062817
64,Colorado,2012,20.320903629032216,26.317186950146517,1.3363450868768325,370.5979065249274,418.57234219098297
65,Colorado,2013,14.342691029523749,28.70908857142869,1.0601894347619039,307.03681666666535,351.1487857023797
66,Colorado,2014,16.904157374855476,27.25939865957939,0.942433379015481,318.47267529465995,363.5786647081103
67,Colorado,2015,20.03914544487049,24.45096596356662,1.0342656627516797,389.75906855225264,435.2834456234414
68,Colorado,2016,23.6238202862453,20.989141263940557,1.0044201747211907,451.5239535315982,497.1413352565052
69,Connecticut,2006,17.444166465116286,26.086017441860477,3.1960970348837163,477.7570348837203,524.4833158255808
70,Connecticut,2007,12.61999465427514,29.01981226765797,1.7516646802973987,315.65757527880913,359.04904688103966
