,,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
,,mean,mean,mean,mean
State,Year,,,,
Country Of Mexico,2006,20.451521242842112,0.023011423117709713,1.5970209262990471,0.8920294862142123
Country Of Mexico,2007,20.372632317857118,0.02246138214285709,1.6406719345238079,0.8045348309523819
Country Of Mexico,2008,20.11162247814908,0.021141493573264794,1.6757802017994852,0.7966067005141391
Country Of Mexico,2009,23.0326883888889,0.022321129629629625,5.867554925925923,1.0397330462962973
Country Of Mexico,2010,18.5910497632312,0.022187473537604502,1.9573118300835644,0.8078017353760459
Country Of Mexico,2011,22.3873835460993,0.01682285342789594,3.5823167754137097,0.9136374869976354
Delaware,2011,11.071232976190473,0.02498275396825403,1.2262590992063482,0.2473020654761898
Delaware,2012,12.46817790752687,0.026496333333333368,1.0000634344086012,0.26609032903225815
Delaware,2013,10.792126883720922,0.028940674418604637,0.8980670348837209,0.23850300775193803
Delaware,2014,11.679319452261328,0.026187391959798977,1.1228957311557803,0.2559361658291458
Delaware,2015,10.075421769230774,0.02837354751131225,0.739750522624435,0.3006503438914028
Delaware,2016,13.77105545238096,0.025158940476190442,0.828227196428571,0.282874422619048
District Of Columbia,2000,22.72571730769227,0.017567395604395682,8.137539842032979,1.1756959697802172
District Of Columbia,2001,24.47431118338107,0.020935893982808,6.651348691977078,1.075424108882523
District Of Columbia,2002,24.44103580273976,0.024150441095890433,6.7127086904109525,1.1587947835616454
District Of Columbia,2003,22.640754349030477,0.01937184764542932,8.32318670360112,0.8963699445983382
District Of Columbia,2004,20.956403725274743,0.019498175824175793,6.475044528846149,0.617589045329671
District Of Columbia,2005,20.83678835911599,0.021643571823204383,4.48395299447514,0.8488915138121539
District Of Columbia,2006,15.966559909589112,0.026704019178082287,4.5250028821917665,1.1158484082191782
District Of Columbia,2007,15.332143955555598,0.028555570370370435,5.021016170370373,1.1969047348148156
District Of Columbia,2008,18.0577992361111,0.026467700000000045,5.556448202777774,1.221562333333332
District Of Columbia,2009,18.30295406906076,0.023656215469613252,4.529059987569056,0.8657245718232022
District Of Columbia,2010,17.643917554945038,0.028239994505494463,3.360865269230769,0.883861082417585
District Of Columbia,2011,15.92879966435991,0.02458485697808538,3.5996834619377145,0.6688640432525952
District Of Columbia,2012,16.273087274492475,0.025915747572815482,1.682196920564868,0.594510048543687
District Of Columbia,2013,11.500348711450378,0.02550544122137395,0.9909780053435142,0.3404356458015289
District Of Columbia,2014,12.302943370023447,0.024595138173302014,1.1175846030444978,0.35865022716627665
District Of Columbia,2015,13.233156556732208,0.02666851588502266,1.2680819417549176,0.27298412556732193
District Of Columbia,2016,12.460649844827593,0.031057155172413812,0.9719559310344821,0.2571015431034486
